"","UTLA20CD","UTLA20NM"
"1","E06000001","Hartlepool"
"2","E06000002","Middlesbrough"
"3","E06000003","Redcar and Cleveland"
"4","E06000004","Stockton-on-Tees"
"5","E06000005","Darlington"
"6","E06000006","Halton"
"7","E06000007","Warrington"
"8","E06000008","Blackburn with Darwen"
"9","E06000009","Blackpool"
"10","E06000010","Kingston upon Hull, City of"
"11","E06000011","East Riding of Yorkshire"
"12","E06000012","North East Lincolnshire"
"13","E06000013","North Lincolnshire"
"14","E06000014","York"
"15","E06000015","Derby"
"16","E06000016","Leicester"
"17","E06000017","Rutland"
"18","E06000018","Nottingham"
"19","E06000019","Herefordshire, County of"
"20","E06000020","Telford and Wrekin"
"21","E06000021","Stoke-on-Trent"
"22","E06000022","Bath and North East Somerset"
"23","E06000023","Bristol, City of"
"24","E06000024","North Somerset"
"25","E06000025","South Gloucestershire"
"26","E06000026","Plymouth"
"27","E06000027","Torbay"
"28","E06000030","Swindon"
"29","E06000031","Peterborough"
"30","E06000032","Luton"
"31","E06000033","Southend-on-Sea"
"32","E06000034","Thurrock"
"33","E06000035","Medway"
"34","E06000036","Bracknell Forest"
"35","E06000037","West Berkshire"
"36","E06000038","Reading"
"37","E06000039","Slough"
"38","E06000040","Windsor and Maidenhead"
"39","E06000041","Wokingham"
"40","E06000042","Milton Keynes"
"41","E06000043","Brighton and Hove"
"42","E06000044","Portsmouth"
"43","E06000045","Southampton"
"44","E06000046","Isle of Wight"
"45","E06000047","County Durham"
"46","E06000049","Cheshire East"
"47","E06000050","Cheshire West and Chester"
"48","E06000051","Shropshire"
"49","E06000052","Cornwall"
"50","E06000053","Isles of Scilly"
"51","E06000054","Wiltshire"
"52","E06000055","Bedford"
"53","E06000056","Central Bedfordshire"
"54","E06000057","Northumberland"
"55","E06000058","Bournemouth, Christchurch and Poole"
"56","E06000059","Dorset"
"57","E09000020","Kensington and Chelsea"
"58","E09000021","Kingston upon Thames"
"59","E09000022","Lambeth"
"60","E09000023","Lewisham"
"61","E09000024","Merton"
"62","E09000025","Newham"
"63","E09000026","Redbridge"
"64","E09000027","Richmond upon Thames"
"65","E09000028","Southwark"
"66","E09000029","Sutton"
"67","E09000030","Tower Hamlets"
"68","E09000031","Waltham Forest"
"69","E09000032","Wandsworth"
"70","E09000033","Westminster"
"71","E10000003","Cambridgeshire"
"72","E10000006","Cumbria"
"73","E10000007","Derbyshire"
"74","E10000008","Devon"
"75","E10000011","East Sussex"
"76","E10000012","Essex"
"77","E06000060","Buckinghamshire"
"78","E08000001","Bolton"
"79","E08000002","Bury"
"80","E10000013","Gloucestershire"
"81","E08000003","Manchester"
"82","E08000004","Oldham"
"83","E08000005","Rochdale"
"84","E08000006","Salford"
"85","E08000007","Stockport"
"86","E08000008","Tameside"
"87","E10000014","Hampshire"
"88","E08000009","Trafford"
"89","E08000010","Wigan"
"90","E08000011","Knowsley"
"91","E08000012","Liverpool"
"92","E08000013","St. Helens"
"93","E10000029","Suffolk"
"94","E10000015","Hertfordshire"
"95","E10000016","Kent"
"96","E10000017","Lancashire"
"97","E10000018","Leicestershire"
"98","E08000014","Sefton"
"99","E08000015","Wirral"
"100","E08000016","Barnsley"
"101","E10000019","Lincolnshire"
"102","E08000017","Doncaster"
"103","E10000030","Surrey"
"104","E08000018","Rotherham"
"105","E08000019","Sheffield"
"106","E08000021","Newcastle upon Tyne"
"107","E08000022","North Tyneside"
"108","E08000023","South Tyneside"
"109","E10000020","Norfolk"
"110","E10000021","Northamptonshire"
"111","E10000023","North Yorkshire"
"112","E10000024","Nottinghamshire"
"113","E10000025","Oxfordshire"
"114","E10000027","Somerset"
"115","E10000028","Staffordshire"
"116","E08000024","Sunderland"
"117","E08000025","Birmingham"
"118","E08000026","Coventry"
"119","E08000027","Dudley"
"120","E10000031","Warwickshire"
"121","E08000028","Sandwell"
"122","E08000029","Solihull"
"123","E08000030","Walsall"
"124","E08000031","Wolverhampton"
"125","E08000032","Bradford"
"126","E10000032","West Sussex"
"127","E08000033","Calderdale"
"128","E10000034","Worcestershire"
"129","E08000034","Kirklees"
"130","E08000035","Leeds"
"131","E08000036","Wakefield"
"132","E08000037","Gateshead"
"133","E09000001","City of London"
"134","E09000002","Barking and Dagenham"
"135","E09000003","Barnet"
"136","E09000004","Bexley"
"137","E09000005","Brent"
"138","E09000006","Bromley"
"139","E09000007","Camden"
"140","E09000008","Croydon"
"141","E09000009","Ealing"
"142","E09000010","Enfield"
"143","E09000011","Greenwich"
"144","E09000012","Hackney"
"145","E09000013","Hammersmith and Fulham"
"146","E09000014","Haringey"
"147","E09000015","Harrow"
"148","E09000016","Havering"
"149","E09000017","Hillingdon"
"150","E09000018","Hounslow"
"151","E09000019","Islington"
